id,name,description,url,legalStatus,createdOn,lastUpdated,lastVerified,source
211indiana-10,CHURCH WITHOUT WALLS,"A church with worship services and charitable outreach, including a food pantry, and transitional housing.",http://www.emergeministries.wordpress.com,Nonprofit,2018-06-28T00:00:00,,2023-09-11T00:00:00,Indiana 211
211indiana-1000,POSEY TOWNSHIP TRUSTEE - FAYETTE COUNTY,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.",,Government,1900-01-01T00:00:00,1900-01-01T00:00:00,2021-11-12T00:00:00,Indiana 211
211indiana-10000,SPARTA TOWNSHIP TRUSTEE - DEARBORN COUNTY,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.",,Government,2019-04-04T00:00:00,2023-08-11T00:00:00,2023-08-11T00:00:00,Indiana 211
211indiana-10221,BLOOMFIELD FIRST BAPTIST CHURCH,"A church with worship services and charitable outreach, including a food pantry.",http://www.fbcbloom.org,Nonprofit,2018-06-28T00:00:00,,2023-05-09T00:00:00,Indiana 211
211indiana-105,AREA FIVE AGENCY ON AGING AND COMMUNITY SERVICES,"An Indiana Area Agency on Aging providing programs and services that benefit low income, disadvantaged, and older persons living in Cass, Fulton, Howard, Miami, Tipton, and Wabash Counties.",https://www.areafive.com,Nonprofit,2018-06-28T00:00:00,,2023-02-27T00:00:00,Indiana 211
211indiana-1050,SALVATION ARMY CONNERSVILLE,"A nonprofit organization that provides a community meal to those in need, and provides financial assistance.",,Nonprofit,1900-01-01T00:00:00,1900-01-01T00:00:00,2023-09-11T00:00:00,Indiana 211
211indiana-10660,STRENGTHENING INDIANA FAMILIES,A nonprofit family resource center that provides a wide variety of social services that are designed to support the healthy development of families with information and access to the resources they need to be connected and safe.,http://www.strengtheninginfamilies.org,Nonprofit,2021-02-08T00:00:00,2023-03-29T00:00:00,2023-03-28T00:00:00,Indiana 211
